<string>:12: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
[2026-04-10T03:40:17.805553Z] ============================================================
[2026-04-10T03:40:17.805685Z] 🔍 Starting BTC Multi-Timeframe Alignment Monitor
[2026-04-10T03:40:17.805705Z] ============================================================
[2026-04-10T03:40:17.805774Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:41:17.806033Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:42:17.806980Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:43:17.807261Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:44:17.807615Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:45:17.807937Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:46:17.808356Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:47:17.808749Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:48:17.809059Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:49:17.809382Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:50:17.810448Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:51:17.810807Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:52:17.811145Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:53:17.811511Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:54:17.811827Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:55:17.812120Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:56:17.812518Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:57:17.812831Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:58:17.813148Z] ❌ Error: No module named 'kai_api'
[2026-04-10T03:59:17.813451Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:00:17.813744Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:01:17.814102Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:02:17.814476Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:03:17.814812Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:04:17.815253Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:05:17.815563Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:06:17.815859Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:07:17.816137Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:08:17.816456Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:09:17.816754Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:10:17.817054Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:11:17.817332Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:12:17.817650Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:13:17.817959Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:14:17.827673Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:15:17.827990Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:16:17.828306Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:17:17.828612Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:18:17.828959Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:19:17.829277Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:20:17.829643Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:21:17.829922Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:22:17.830256Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:23:17.830639Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:24:17.830933Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:25:17.831256Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:26:17.840582Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:27:17.840894Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:28:17.841190Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:29:17.841484Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:30:17.841773Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:31:17.842078Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:32:17.842440Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:33:17.842771Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:34:17.843279Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:35:17.843662Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:36:17.844013Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:37:17.844319Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:38:17.844645Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:39:17.845001Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:40:17.845287Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:41:17.845643Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:42:17.845933Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:43:17.846294Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:44:17.846630Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:45:17.846965Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:46:17.847262Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:47:17.847621Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:48:17.847985Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:49:17.848308Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:50:17.848666Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:51:17.849055Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:52:17.849374Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:53:17.849733Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:54:17.850133Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:55:17.850490Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:56:17.850848Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:57:17.851152Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:58:17.851468Z] ❌ Error: No module named 'kai_api'
[2026-04-10T04:59:17.851803Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:00:17.852136Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:01:17.852443Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:02:17.852722Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:03:17.853027Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:04:17.853358Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:05:17.853748Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:06:17.854082Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:07:17.854428Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:08:17.854763Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:09:17.855098Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:10:17.855586Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:11:17.855889Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:12:17.856220Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:13:17.856507Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:14:17.856772Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:15:17.857123Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:16:17.857496Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:17:17.857837Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:18:17.858131Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:19:17.858431Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:20:17.858706Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:21:17.858993Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:22:17.859271Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:23:17.859594Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:24:17.859893Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:25:17.860247Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:26:17.860590Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:27:17.860882Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:28:17.861175Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:29:17.861503Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:30:17.861857Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:31:17.862164Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:32:17.862474Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:33:17.862764Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:34:17.863044Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:35:17.863318Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:36:17.863628Z] ❌ Error: No module named 'kai_api'
[2026-04-10T05:37:17.863937Z] ❌ Error: No module named 'kai_api'
